video,label,stroke,dtw_sim,siam_dist,dtw_pred,siam_pred
p43_foreflat_s3,expert,forehand,48.045,0.0207,beginner,expert
p44_foreflat_s1,expert,forehand,44.088,0.023,beginner,expert
p44_foreflat_s2,expert,forehand,41.646,0.0226,beginner,expert
p44_foreflat_s3,expert,forehand,41.5,0.02,beginner,expert
p45_foreflat_s1,expert,forehand,44.604,0.0199,beginner,expert
p45_foreflat_s2,expert,forehand,43.288,0.02,beginner,expert
p45_foreflat_s3,expert,forehand,42.047,0.02,beginner,expert
p46_foreflat_s1,expert,forehand,38.434,0.0199,beginner,expert
p46_foreflat_s2,expert,forehand,35.899,0.0215,beginner,expert
p46_foreflat_s3,expert,forehand,34.713,0.0216,beginner,expert
p47_foreflat_s1,expert,forehand,52.193,0.02,expert,expert
p47_foreflat_s2,expert,forehand,53.579,0.0204,expert,expert
p47_foreflat_s3,expert,forehand,52.854,0.02,expert,expert
p48_foreflat_s1,expert,forehand,43.61,0.0205,beginner,expert
p48_foreflat_s2,expert,forehand,42.201,0.0294,beginner,expert
p48_foreflat_s3,expert,forehand,39.961,0.0225,beginner,expert
p49_foreflat_s1,expert,forehand,45.968,0.0207,beginner,expert
p49_foreflat_s2,expert,forehand,48.522,0.0211,beginner,expert
p49_foreflat_s3,expert,forehand,48.023,0.023,beginner,expert
p50_foreflat_s1,expert,forehand,47.996,0.0207,beginner,expert
p50_foreflat_s2,expert,forehand,51.226,0.0309,expert,expert
p50_foreflat_s3,expert,forehand,50.081,0.0245,expert,expert
p51_foreflat_s1,expert,forehand,47.676,0.0201,beginner,expert
p51_foreflat_s2,expert,forehand,48.754,0.0201,beginner,expert
p51_foreflat_s3,expert,forehand,49.539,0.0203,beginner,expert
p52_foreflat_s1,expert,forehand,42.61,0.0201,beginner,expert
p52_foreflat_s2,expert,forehand,38.861,0.0214,beginner,expert
p52_foreflat_s3,expert,forehand,38.467,0.0207,beginner,expert
p53_foreflat_s1,expert,forehand,54.616,0.0503,expert,expert
p53_foreflat_s2,expert,forehand,46.132,0.0248,beginner,expert
p53_foreflat_s3,expert,forehand,50.489,1.1203,expert,beginner
p54_foreflat_s1,expert,forehand,49.364,0.0205,beginner,expert
p54_foreflat_s2,expert,forehand,48.102,0.0202,beginner,expert
p54_foreflat_s3,expert,forehand,48.384,0.02,beginner,expert
p55_foreflat_s1,expert,forehand,44.912,0.0229,beginner,expert
p55_foreflat_s2,expert,forehand,46.343,0.0207,beginner,expert
p55_foreflat_s3,expert,forehand,46.343,0.0207,beginner,expert
p10_foreflat_s1,beginner,forehand,45.822,1.106,beginner,beginner
p10_foreflat_s2,beginner,forehand,46.765,1.1055,beginner,beginner
p10_foreflat_s3,beginner,forehand,43.171,1.106,beginner,beginner
p11_foreflat_s1,beginner,forehand,46.738,1.1046,beginner,beginner
p11_foreflat_s2,beginner,forehand,47.45,1.1026,beginner,beginner
p11_foreflat_s3,beginner,forehand,48.365,1.1041,beginner,beginner
p12_foreflat_s1,beginner,forehand,52.044,1.0871,expert,beginner
p12_foreflat_s2,beginner,forehand,51.13,1.0969,expert,beginner
p12_foreflat_s3,beginner,forehand,51.195,1.099,expert,beginner
p13_foreflat_s1,beginner,forehand,43.348,1.1015,beginner,beginner
p13_foreflat_s2,beginner,forehand,43.637,1.1035,beginner,beginner
p13_foreflat_s3,beginner,forehand,43.637,1.1035,beginner,beginner
p14_foreflat_s1,beginner,forehand,45.602,1.1071,beginner,beginner
p14_foreflat_s2,beginner,forehand,44.681,1.1021,beginner,beginner
p14_foreflat_s3,beginner,forehand,45.522,1.1078,beginner,beginner
p15_foreflat_s1,beginner,forehand,49.688,1.0991,beginner,beginner
p15_foreflat_s2,beginner,forehand,51.898,1.1052,expert,beginner
p15_foreflat_s3,beginner,forehand,48.794,1.1016,beginner,beginner
p16_foreflat_s1,beginner,forehand,39.023,1.0999,beginner,beginner
p16_foreflat_s2,beginner,forehand,40.94,1.0672,beginner,beginner
p16_foreflat_s3,beginner,forehand,39.989,1.0833,beginner,beginner
p17_foreflat_s1,beginner,forehand,36.169,1.102,beginner,beginner
p17_foreflat_s2,beginner,forehand,39.235,1.1037,beginner,beginner
p17_foreflat_s3,beginner,forehand,37.996,1.1057,beginner,beginner
p18_foreflat_s1,beginner,forehand,45.232,1.11,beginner,beginner
p18_foreflat_s2,beginner,forehand,46.813,1.1117,beginner,beginner
p18_foreflat_s3,beginner,forehand,45.574,1.1058,beginner,beginner
p19_foreflat_s1,beginner,forehand,39.144,1.105,beginner,beginner
p19_foreflat_s2,beginner,forehand,41.273,1.1016,beginner,beginner
p19_foreflat_s3,beginner,forehand,41.99,1.1046,beginner,beginner
p1_foreflat_s1,beginner,forehand,45.402,1.1083,beginner,beginner
p1_foreflat_s2,beginner,forehand,45.799,1.1032,beginner,beginner
p1_foreflat_s3,beginner,forehand,46.38,1.1059,beginner,beginner
p20_foreflat_s1,beginner,forehand,47.069,1.0938,beginner,beginner
p20_foreflat_s2,beginner,forehand,47.172,1.1097,beginner,beginner
p20_foreflat_s3,beginner,forehand,48.77,1.071,beginner,beginner
p21_foreflat_s1,beginner,forehand,49.903,1.1029,beginner,beginner
p21_foreflat_s2,beginner,forehand,50.445,1.1009,expert,beginner
p21_foreflat_s3,beginner,forehand,50.365,1.1099,expert,beginner
p22_foreflat_s1,beginner,forehand,43.344,1.0983,beginner,beginner
p22_foreflat_s2,beginner,forehand,44.205,1.1062,beginner,beginner
p22_foreflat_s3,beginner,forehand,40.376,1.1144,beginner,beginner
p23_foreflat_s1,beginner,forehand,53.588,1.0951,expert,beginner
p23_foreflat_s2,beginner,forehand,51.937,1.1036,expert,beginner
p23_foreflat_s3,beginner,forehand,51.291,1.0942,expert,beginner
p24_foreflat_s1,beginner,forehand,26.051,0.9512,beginner,beginner
p24_foreflat_s2,beginner,forehand,27.779,1.0968,beginner,beginner
p24_foreflat_s3,beginner,forehand,27.315,1.1017,beginner,beginner
p25_foreflat_s1,beginner,forehand,49.13,1.1042,beginner,beginner
p25_foreflat_s2,beginner,forehand,46.03,1.1002,beginner,beginner
p25_foreflat_s3,beginner,forehand,45.493,1.0983,beginner,beginner
p26_foreflat_s1,beginner,forehand,48.878,1.1031,beginner,beginner
p26_foreflat_s2,beginner,forehand,50.261,1.1021,expert,beginner
p26_foreflat_s3,beginner,forehand,50.094,1.1096,expert,beginner
p27_foreflat_s1,beginner,forehand,49.242,1.1106,beginner,beginner
p27_foreflat_s2,beginner,forehand,48.348,1.1026,beginner,beginner
p27_foreflat_s3,beginner,forehand,46.983,1.1042,beginner,beginner
p28_foreflat_s1,beginner,forehand,40.598,1.103,beginner,beginner
p28_foreflat_s2,beginner,forehand,38.516,1.1011,beginner,beginner
p28_foreflat_s3,beginner,forehand,38.037,1.1022,beginner,beginner
p29_foreflat_s1,beginner,forehand,48.207,1.1042,beginner,beginner
p29_foreflat_s2,beginner,forehand,46.032,1.0911,beginner,beginner
p29_foreflat_s3,beginner,forehand,48.888,1.1071,beginner,beginner
p2_foreflat_s1,beginner,forehand,48.664,1.1049,beginner,beginner
p2_foreflat_s2,beginner,forehand,48.533,1.1039,beginner,beginner
p2_foreflat_s3,beginner,forehand,46.186,1.0895,beginner,beginner
p30_foreflat_s1,beginner,forehand,49.588,1.1006,beginner,beginner
p30_foreflat_s2,beginner,forehand,51.531,1.1071,expert,beginner
p30_foreflat_s3,beginner,forehand,50.969,1.1035,expert,beginner
p31_foreflat_s1,beginner,forehand,36.912,1.109,beginner,beginner
p31_foreflat_s2,beginner,forehand,40.345,1.1036,beginner,beginner
p31_foreflat_s3,beginner,forehand,38.083,1.097,beginner,beginner
p3_foreflat_s1,beginner,forehand,41.327,1.1077,beginner,beginner
p3_foreflat_s2,beginner,forehand,43.228,1.1037,beginner,beginner
p3_foreflat_s3,beginner,forehand,44.469,1.1065,beginner,beginner
p4_foreflat_s1,beginner,forehand,49.09,1.1043,beginner,beginner
p4_foreflat_s2,beginner,forehand,48.893,1.1062,beginner,beginner
p4_foreflat_s3,beginner,forehand,48.732,1.1044,beginner,beginner
p5_foreflat_s1,beginner,forehand,34.498,1.1052,beginner,beginner
p5_foreflat_s2,beginner,forehand,36.34,1.0968,beginner,beginner
p5_foreflat_s3,beginner,forehand,37.933,1.0989,beginner,beginner
p6_foreflat_s1,beginner,forehand,45.734,1.0904,beginner,beginner
p6_foreflat_s2,beginner,forehand,42.356,1.0928,beginner,beginner
p6_foreflat_s3,beginner,forehand,41.723,1.0954,beginner,beginner
p7_foreflat_s1,beginner,forehand,41.02,1.1052,beginner,beginner
p7_foreflat_s2,beginner,forehand,40.41,1.095,beginner,beginner
p7_foreflat_s3,beginner,forehand,40.627,1.1007,beginner,beginner
p8_foreflat_s1,beginner,forehand,30.112,1.1006,beginner,beginner
p8_foreflat_s2,beginner,forehand,31.823,1.1022,beginner,beginner
p8_foreflat_s3,beginner,forehand,31.716,1.1049,beginner,beginner
p9_foreflat_s1,beginner,forehand,50.312,1.1037,expert,beginner
p9_foreflat_s2,beginner,forehand,44.852,1.1115,beginner,beginner
p9_foreflat_s3,beginner,forehand,46.285,1.1081,beginner,beginner
p32_backhand_s1,expert,backhand,41.923,0.017,beginner,expert
p32_backhand_s2,expert,backhand,40.77,0.0174,beginner,expert
p32_backhand_s3,expert,backhand,43.092,0.0166,beginner,expert
p33_backhand_s1,expert,backhand,41.968,0.0351,beginner,expert
p33_backhand_s2,expert,backhand,42.177,0.0244,beginner,expert
p33_backhand_s3,expert,backhand,42.541,0.024,beginner,expert
p34_backhand_s1,expert,backhand,50.544,0.0188,expert,expert
p34_backhand_s2,expert,backhand,49.238,0.0179,beginner,expert
p34_backhand_s3,expert,backhand,48.772,0.017,beginner,expert
p35_backhand_s1,expert,backhand,46.099,0.0184,beginner,expert
p35_backhand_s2,expert,backhand,45.977,0.0194,beginner,expert
p35_backhand_s3,expert,backhand,47.676,0.0183,beginner,expert
p36_backhand_s1,expert,backhand,50.312,0.0168,expert,expert
p36_backhand_s2,expert,backhand,50.582,0.0175,expert,expert
p36_backhand_s3,expert,backhand,48.693,0.0182,beginner,expert
p37_backhand_s1,expert,backhand,43.226,0.0177,beginner,expert
p37_backhand_s2,expert,backhand,44.993,0.0212,beginner,expert
p37_backhand_s3,expert,backhand,42.523,0.021,beginner,expert
p38_backhand_s1,expert,backhand,53.135,0.0172,expert,expert
p38_backhand_s2,expert,backhand,51.357,0.0177,expert,expert
p38_backhand_s3,expert,backhand,50.421,0.0166,expert,expert
p39_backhand_s1,expert,backhand,48.208,0.0172,beginner,expert
p39_backhand_s2,expert,backhand,50.461,0.0173,expert,expert
p39_backhand_s3,expert,backhand,50.046,0.0169,expert,expert
p40_backhand_s1,expert,backhand,47.862,0.0178,beginner,expert
p40_backhand_s2,expert,backhand,47.26,0.0166,beginner,expert
p40_backhand_s3,expert,backhand,46.7,0.0165,beginner,expert
p41_backhand_s1,expert,backhand,50.025,0.0216,expert,expert
p41_backhand_s2,expert,backhand,48.072,0.0174,beginner,expert
p41_backhand_s3,expert,backhand,47.976,0.0169,beginner,expert
p42_backhand_s1,expert,backhand,47.158,0.0174,beginner,expert
p42_backhand_s2,expert,backhand,46.47,0.0229,beginner,expert
p42_backhand_s3,expert,backhand,46.967,0.0181,beginner,expert
p43_backhand_s1,expert,backhand,48.409,0.0165,beginner,expert
p43_backhand_s2,expert,backhand,47.671,0.0165,beginner,expert
p43_backhand_s3,expert,backhand,44.129,0.0174,beginner,expert
p44_backhand_s1,expert,backhand,51.984,0.0165,expert,expert
p44_backhand_s2,expert,backhand,51.871,0.0193,expert,expert
p44_backhand_s3,expert,backhand,48.518,0.0169,beginner,expert
p45_backhand_s1,expert,backhand,44.754,0.0165,beginner,expert
p45_backhand_s2,expert,backhand,44.122,0.0166,beginner,expert
p45_backhand_s3,expert,backhand,46.238,0.0175,beginner,expert
p46_backhand_s1,expert,backhand,37.352,0.0165,beginner,expert
p46_backhand_s2,expert,backhand,37.795,0.017,beginner,expert
p46_backhand_s3,expert,backhand,35.902,0.0169,beginner,expert
p47_backhand_s1,expert,backhand,49.42,0.5619,beginner,beginner
p47_backhand_s2,expert,backhand,41.505,0.0165,beginner,expert
p47_backhand_s3,expert,backhand,41.505,0.0165,beginner,expert
p48_backhand_s1,expert,backhand,35.909,0.0193,beginner,expert
p48_backhand_s2,expert,backhand,34.188,0.0165,beginner,expert
p48_backhand_s3,expert,backhand,35.398,0.0184,beginner,expert
p49_backhand_s1,expert,backhand,51.348,0.0167,expert,expert
p49_backhand_s2,expert,backhand,48.741,0.0177,beginner,expert
p49_backhand_s3,expert,backhand,43.929,0.0165,beginner,expert
p50_backhand_s1,expert,backhand,45.059,0.0237,beginner,expert
p50_backhand_s2,expert,backhand,47.858,0.0203,beginner,expert
p50_backhand_s3,expert,backhand,44.601,0.0167,beginner,expert
p51_backhand_s1,expert,backhand,47.604,0.0254,beginner,expert
p51_backhand_s2,expert,backhand,47.042,0.0167,beginner,expert
p51_backhand_s3,expert,backhand,46.642,0.0178,beginner,expert
p52_backhand_s1,expert,backhand,42.649,0.0167,beginner,expert
p52_backhand_s2,expert,backhand,44.366,0.3429,beginner,expert
p52_backhand_s3,expert,backhand,43.185,0.0171,beginner,expert
p53_backhand_s1,expert,backhand,48.839,0.0171,beginner,expert
p53_backhand_s2,expert,backhand,47.261,0.017,beginner,expert
p53_backhand_s3,expert,backhand,48.399,0.0167,beginner,expert
p54_backhand_s1,expert,backhand,50.378,0.0166,expert,expert
p54_backhand_s2,expert,backhand,48.206,0.0166,beginner,expert
p54_backhand_s3,expert,backhand,48.575,0.0167,beginner,expert
p55_backhand_s1,expert,backhand,33.909,0.0189,beginner,expert
p55_backhand_s2,expert,backhand,41.657,0.0193,beginner,expert
p55_backhand_s3,expert,backhand,41.223,0.0201,beginner,expert
p10_backhand_s1,beginner,backhand,41.741,1.1049,beginner,beginner
p10_backhand_s2,beginner,backhand,41.697,1.1055,beginner,beginner
p10_backhand_s3,beginner,backhand,42.182,1.1057,beginner,beginner
p11_backhand_s1,beginner,backhand,45.088,1.106,beginner,beginner
p11_backhand_s2,beginner,backhand,45.741,1.1032,beginner,beginner
p11_backhand_s3,beginner,backhand,46.51,1.1059,beginner,beginner
p12_backhand_s1,beginner,backhand,50.44,1.1058,expert,beginner
p12_backhand_s2,beginner,backhand,49.946,0.8367,beginner,beginner
p12_backhand_s3,beginner,backhand,50.458,0.9562,expert,beginner
p13_backhand_s1,beginner,backhand,42.248,1.0988,beginner,beginner
p13_backhand_s2,beginner,backhand,42.224,1.1055,beginner,beginner
p13_backhand_s3,beginner,backhand,43.526,1.1071,beginner,beginner
p14_backhand_s1,beginner,backhand,45.476,1.1015,beginner,beginner
p14_backhand_s2,beginner,backhand,44.717,1.1013,beginner,beginner
p14_backhand_s3,beginner,backhand,43.35,1.1014,beginner,beginner
p15_backhand_s1,beginner,backhand,44.272,1.1072,beginner,beginner
p15_backhand_s2,beginner,backhand,44.477,1.1113,beginner,beginner
p15_backhand_s3,beginner,backhand,45.489,1.1073,beginner,beginner
p16_backhand_s1,beginner,backhand,40.014,1.1053,beginner,beginner
p16_backhand_s2,beginner,backhand,40.625,1.1041,beginner,beginner
p16_backhand_s3,beginner,backhand,40.598,1.1047,beginner,beginner
p17_backhand_s1,beginner,backhand,30.726,1.0949,beginner,beginner
p17_backhand_s2,beginner,backhand,26.478,0.4324,beginner,expert
p17_backhand_s3,beginner,backhand,33.071,1.0971,beginner,beginner
p18_backhand_s1,beginner,backhand,38.155,1.103,beginner,beginner
p18_backhand_s2,beginner,backhand,39.705,1.1047,beginner,beginner
p18_backhand_s3,beginner,backhand,39.009,1.105,beginner,beginner
p19_backhand_s1,beginner,backhand,38.807,1.1022,beginner,beginner
p19_backhand_s2,beginner,backhand,37.032,1.1009,beginner,beginner
p19_backhand_s3,beginner,backhand,36.205,1.1039,beginner,beginner
p1_backhand_s1,beginner,backhand,47.639,1.0939,beginner,beginner
p1_backhand_s2,beginner,backhand,36.999,1.1083,beginner,beginner
p1_backhand_s3,beginner,backhand,38.908,1.1051,beginner,beginner
p20_backhand_s1,beginner,backhand,37.591,1.1099,beginner,beginner
p20_backhand_s2,beginner,backhand,37.676,1.1071,beginner,beginner
p20_backhand_s3,beginner,backhand,39.58,1.1033,beginner,beginner
p21_backhand_s1,beginner,backhand,46.024,1.1029,beginner,beginner
p21_backhand_s2,beginner,backhand,41.402,1.1014,beginner,beginner
p21_backhand_s3,beginner,backhand,43.046,1.1046,beginner,beginner
p22_backhand_s1,beginner,backhand,46.813,1.1034,beginner,beginner
p22_backhand_s2,beginner,backhand,45.612,1.1016,beginner,beginner
p22_backhand_s3,beginner,backhand,45.332,1.1012,beginner,beginner
p23_backhand_s1,beginner,backhand,48.677,1.1075,beginner,beginner
p23_backhand_s2,beginner,backhand,49.616,1.1069,beginner,beginner
p23_backhand_s3,beginner,backhand,50.702,1.1075,expert,beginner
p24_backhand_s1,beginner,backhand,26.933,1.0968,beginner,beginner
p24_backhand_s2,beginner,backhand,27.931,1.0866,beginner,beginner
p24_backhand_s3,beginner,backhand,26.0,1.1101,beginner,beginner
p25_backhand_s1,beginner,backhand,47.131,1.1048,beginner,beginner
p25_backhand_s2,beginner,backhand,45.781,1.1075,beginner,beginner
p25_backhand_s3,beginner,backhand,46.537,1.1055,beginner,beginner
p26_backhand_s1,beginner,backhand,44.231,1.1042,beginner,beginner
p26_backhand_s2,beginner,backhand,42.583,1.1004,beginner,beginner
p26_backhand_s3,beginner,backhand,41.62,1.104,beginner,beginner
p27_backhand_s1,beginner,backhand,41.442,1.1058,beginner,beginner
p27_backhand_s2,beginner,backhand,40.716,1.1075,beginner,beginner
p27_backhand_s3,beginner,backhand,40.028,1.0997,beginner,beginner
p28_backhand_s1,beginner,backhand,47.613,1.1036,beginner,beginner
p28_backhand_s2,beginner,backhand,47.134,1.1048,beginner,beginner
p28_backhand_s3,beginner,backhand,46.566,1.1043,beginner,beginner
p29_backhand_s1,beginner,backhand,39.449,1.1042,beginner,beginner
p29_backhand_s2,beginner,backhand,39.468,1.108,beginner,beginner
p29_backhand_s3,beginner,backhand,39.495,1.1017,beginner,beginner
p2_backhand_s1,beginner,backhand,45.716,1.1052,beginner,beginner
p2_backhand_s2,beginner,backhand,45.781,1.1041,beginner,beginner
p2_backhand_s3,beginner,backhand,47.45,1.1029,beginner,beginner
p30_backhand_s1,beginner,backhand,44.797,1.1049,beginner,beginner
p30_backhand_s2,beginner,backhand,45.789,1.1059,beginner,beginner
p30_backhand_s3,beginner,backhand,45.133,1.1061,beginner,beginner
p31_backhand_s1,beginner,backhand,43.895,1.104,beginner,beginner
p31_backhand_s2,beginner,backhand,44.874,1.1044,beginner,beginner
p31_backhand_s3,beginner,backhand,46.359,1.1082,beginner,beginner
p3_backhand_s1,beginner,backhand,45.2,1.1068,beginner,beginner
p3_backhand_s2,beginner,backhand,43.059,1.105,beginner,beginner
p3_backhand_s3,beginner,backhand,38.795,1.1091,beginner,beginner
p4_backhand_s1,beginner,backhand,47.476,1.1068,beginner,beginner
p4_backhand_s2,beginner,backhand,46.896,1.1117,beginner,beginner
p4_backhand_s3,beginner,backhand,47.509,1.1075,beginner,beginner
p5_backhand_s1,beginner,backhand,39.792,1.1103,beginner,beginner
p5_backhand_s2,beginner,backhand,41.247,1.1064,beginner,beginner
p5_backhand_s3,beginner,backhand,39.052,1.1045,beginner,beginner
p6_backhand_s1,beginner,backhand,40.493,1.1048,beginner,beginner
p6_backhand_s2,beginner,backhand,35.988,1.1003,beginner,beginner
p6_backhand_s3,beginner,backhand,37.989,1.1066,beginner,beginner
p7_backhand_s1,beginner,backhand,35.906,1.1037,beginner,beginner
p7_backhand_s2,beginner,backhand,37.273,1.1048,beginner,beginner
p7_backhand_s3,beginner,backhand,34.355,1.1078,beginner,beginner
p8_backhand_s1,beginner,backhand,30.281,1.1011,beginner,beginner
p8_backhand_s2,beginner,backhand,26.512,1.1065,beginner,beginner
p8_backhand_s3,beginner,backhand,24.856,1.1068,beginner,beginner
p9_backhand_s1,beginner,backhand,49.475,1.1072,beginner,beginner
p9_backhand_s2,beginner,backhand,49.613,1.1085,beginner,beginner
p9_backhand_s3,beginner,backhand,50.437,1.1076,expert,beginner
